日期,AQI指数
2016/2/27,61
,
2016/2/28,81
,
2016/2/29,118
,
2016/3/1,93
,
2016/3/2,115
,
2016/3/3,152
,
2016/3/4,141
,
2016/3/5,98
,
2016/3/6,172
,
2016/3/7,110
,
2016/3/8,57
,
2016/3/9,41
,
2016/3/10,45
,
2016/3/11,73
,
2016/3/12,98
,
2016/3/13,89
,
2016/3/14,127
,
2016/3/15,139
,
2016/3/16,145
,
2016/3/17,141
,
2016/3/18,112
,
2016/3/19,98
,
2016/3/20,102
,
2016/3/21,52
,
2016/3/22,47
,
2016/3/23,70
,
2016/3/24,54
,
2016/3/25,56
,
2016/3/26,72
,
2016/3/27,82
,
2016/3/28,90
,
2016/3/29,112
,
2016/3/30,87
,
2016/3/31,96
,
2016/4/1,113
,
2016/4/2,125
,
2016/4/3,58
,
2016/4/4,46
,
2016/4/5,71
,
2016/4/6,70
,
2016/4/7,33
,
2016/4/8,56
,
2016/4/9,46
,
2016/4/10,64
,
2016/4/11,71
,
2016/4/12,64
,
2016/4/13,59
,
2016/4/14,64
,
2016/4/15,51
,
2016/4/16,37
,
2016/4/17,42
,
2016/4/18,53
,
2016/4/19,68
,
2016/4/20,52
,
2016/4/21,37
,
2016/4/22,45
,
2016/4/23,35
,
2016/4/24,45
,
2016/4/25,43
,
2016/4/26,30
,
2016/4/27,49
,
2016/4/28,58
,
2016/4/29,64
,
2016/4/30,79
,
2016/5/1,58
,
2016/5/2,46
,
2016/5/3,63
,
2016/5/4,69
,
2016/5/5,40
,
2016/5/6,57
,
2016/5/7,52
,
2016/5/8,50
,
2016/5/9,45
,
2016/5/10,45
,
2016/5/11,72
,
2016/5/12,79
,
2016/5/13,80
,
2016/5/14,86
,
2016/5/15,54
,
2016/5/16,59
,
2016/5/17,61
,
2016/5/18,66
,
2016/5/19,61
,
2016/5/20,37
,
2016/5/21,38
,
2016/5/22,45
,
2016/5/23,46
,
2016/5/24,53
,
2016/5/25,44
,
2016/5/26,32
,
2016/5/27,62
,
2016/5/28,43
,
2016/5/29,34
,
2016/5/30,61
,
2016/5/31,68
,
2016/6/1,49
,
2016/6/2,30
,
2016/6/3,26
,
2016/6/4,55
,
2016/6/5,71
,
2016/6/6,77
,
2016/6/7,66
,
2016/6/8,59
,
2016/6/9,73
,
2016/6/10,73
,
2016/6/11,33
,
2016/6/12,37
,
2016/6/13,55
,
2016/6/14,63
,
2016/6/15,33
,
2016/6/16,55
,
2016/6/17,58
,
2016/6/18,38
,
2016/6/19,29
,
2016/6/20,44
,
2016/6/21,54
,
2016/6/22,56
,
2016/6/23,61
,
2016/6/24,55
,
2016/6/25,41
,
2016/6/26,43
,
2016/6/27,49
,
2016/6/28,51
,
2016/6/29,27
,
2016/6/30,30
,
2016/7/1,33
,
2016/7/2,40
,
2016/7/3,35
,
2016/7/4,34
,
2016/7/5,35
,
2016/7/6,43
,
2016/7/7,45
,
2016/7/8,54
,
2016/7/9,49
,
2016/7/10,49
,
2016/7/11,45
,
2016/7/12,61
,
2016/7/13,57
,
2016/7/14,38
,
2016/7/15,48
,
2016/7/16,24
,
2016/7/17,28
,
2016/7/18,26
,
2016/7/19,39
,
2016/7/20,36
,
2016/7/21,44
,
2016/7/22,59
,
2016/7/23,70
,
2016/7/24,76
,
2016/7/25,82
,
2016/7/26,85
,
2016/7/27,77
,
2016/7/28,71
,
2016/7/29,64
,
2016/7/30,70
,
2016/7/31,66
,
2016/8/1,56
,
2016/8/2,38
,
2016/8/3,32
,
2016/8/4,37
,
2016/8/5,39
,
2016/8/6,46
,
2016/8/7,47
,
2016/8/8,53
,
2016/8/9,53
,
2016/8/10,37
,
2016/8/11,43
,
2016/8/12,36
,
2016/8/13,38
,
2016/8/14,36
,
2016/8/15,51
,
2016/8/16,57
,
2016/8/17,70
,
2016/8/18,43
,
2016/8/19,43
,
2016/8/20,58
,
2016/8/21,51
,
2016/8/22,64
,
2016/8/23,67
,
2016/8/24,65
,
2016/8/25,73
,
2016/8/26,68
,
2016/8/27,45
,
2016/8/28,65
,
2016/8/29,63
,
2016/8/30,71
,
2016/8/31,77
,
2016/9/1,47
,
2016/9/2,64
,
2016/9/3,70
,
2016/9/4,60
,
2016/9/5,63
,
2016/9/6,48
,
2016/9/7,49
,
2016/9/8,66
,
2016/9/9,91
,
2016/9/10,65
,
2016/9/11,63
,
2016/9/12,44
,
2016/9/13,62
,
2016/9/14,56
,
2016/9/15,45
,
2016/9/16,25
,
2016/9/17,32
,
2016/9/18,49
,
2016/9/19,76
,
2016/9/20,62
,
2016/9/21,66
,
2016/9/22,82
,
2016/9/23,100
,
2016/9/24,101
,
2016/9/25,109
,
2016/9/26,88
,
2016/9/27,92
,
2016/9/28,69
,
2016/9/29,23
,
2016/9/30,27
,
2016/10/1,43
,
2016/10/2,60
,
2016/10/3,33
,
2016/10/4,49
,
2016/10/5,68
,
2016/10/6,74
,
2016/10/7,42
